U72;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1175023;Minister of Armament;Truong Chinh;1933;1988;1988;ST;Planned Economy Proponent;High;6861;X
1175024;Minister of Armament;Phan Anh;1937;1990;1990;LWR;Resource Industrialist;High;6876;X
1175025;Minister of Armament;Nguyen Manh Ha;1933;1954;1992;LWR;Laissez-Faire Capitalist;High;M_Nguyen Manh Ha;X
1175026;Minister of Armament;Nguyen Tuong Long;1930;1949;1949;SL;Administrative Genius;High;M_Nhuong Tong;X
1175027;Minister of Armament;Chu Ba Phuong;1930;1964;1964;SL;Resource Industrialist;High;M_Chu Ba Phuong;X
1175028;Minister of Armament;Ngo Tan Nhon;1933;1987;2005;LE;Theoretical Scientist;High;M_Ngo Tan Nhon;X
1175029;Minister of Armament;Le Thanh Nghi;1933;1989;1989;LE;Resource Industrialist;High;6878;X
1175030;Minister of Armament;Kha Vang Can;1933;1982;1982;LWR;Steel Magnate;High;M_Kha Vang Can;X
1175031;Minister of Armament;Pham Van Dong;1933;1990;2000;LE;Planned Economy Proponent;High;M_Pham Van Dong;X
1175032;Minister of Armament;Le Van Hien;1933;1976;1997;LWR;Laissez-Faire Capitalist;High;M_Le Van Hien;X
1175033;Minister of Armament;Hoang Anh;1936;1970;2016;LE;Military Entrepreneur;High;M_Hoang Anh;X
1175034;Minister of Armament;Nguyen Duy Thai;1933;1989;1995;LE;Military Entrepreneur;High;M_Nguyen Duy Thai;X
1175035;Minister of Armament;Nguyen Van Linh;1955;1998;1998;LE;Mixed Economy;High;M_Nguyen Van Linh;X
1175036;Minister of Armament;Nguyen Van Tao;1933;1970;1970;LWR;Industrial Chemist;High;M_Nguyen Van Tao;X
1175037;Minister of Armament;Nguyen Luong Bang;1933;1979;1979;LE;Administrative Genius;High;6851;X
1175038;Minister of Armament;Nghiem Xuan Yem;1941;1980;2001;SD;Theoretical Scientist;High;6856;X
1175039;Minister of Armament;Tran Dang Khoa;1933;1989;1989;SD;Industrial Chemist;High;6863;X
1175040;Minister of Security;Hoang Minh Giam;1933;1981;1995;LWR;Compassionate Gentleman;High;6866;X
1175041;Minister of Security;Vo Nguyen Giap;1936;1992;2013;LE;Man of the People;High;6664;X
1175042;Minister of Security;Huynh Thuc Khang;1920;1948;1948;SD;Silent Lawyer;High;6882;X
1175043;Minister of Security;Hoang Huu Nam;1933;1948;1948;LE;Man of the People;High;M_Hoang Huu Nam;X
1175044;Minister of Security;Phan Ke Toai;1925;1973;1973;LWR;Man of the People;High;6885;X
1175045;Minister of Security;Ton Duc Thang;1920;1980;1980;LE;Man of the People;High;6884;X
1175046;Minister of Security;Ung Van Khiem;1936;1991;1991;LE;Compassionate Gentleman;High;6871;X
1175047;Minister of Security;Tran Quoc Hoan;1952;1986;1986;LE;Secret Police Chief;High;6886;X
1175048;Minister of Security;Duong Bach Mai;1933;1964;1964;LE;Man of the People;High;M_Duong Bach Mai;X
1175049;Minister of Security;Le Hong Phong;1930;1943;1943;LE;Crime Fighter;High;6850;X
1175050;Minister of Security;Cu Huy Can;1950;1995;2005;LWR;Compassionate Gentleman;High;M_Cu Huy Can;X
1175051;Minister of Security;Vu Dinh Hoe;1941;1990;2011;SD;Silent Lawyer;High;6874;X
1175052;Minister of Security;Hoang Van Thu;1933;1944;1944;LE;Media Magnate;High;6879;X
1175053;Head of Military Intelligence;Hoang Minh Dao;1945;1969;1969;LE;Logistics Specialist;High;6709;X
1175054;Head of Military Intelligence;Tran Hieu;1933;1997;1997;LE;Political Specialist;High;6881;X
1175055;Head of Military Intelligence;Pham Ngoc Thao;1952;1966;1966;LWR;Technical Specialist;High;6715;X
1175056;Head of Military Intelligence;Le Trong Nghia;1946;1970;2015;ST;Political Specialist;High;6888;X
1175057;Head of Military Intelligence;Nguyen Trong Binh;1940;1966;1966;LE;Political Specialist;High;M_Nguyen Trong Binh;X
1175058;Chief of Staff;Hoang Van Thai;1940;1986;1986;LE;School of Psychology;High;6686;X
1175059;Chief of Staff;Van Tien Dung;1944;1986;2002;LE;School of Fire Support;High;6890;X
1175060;Chief of Staff;Nguyen Chi Thanh;1936;1967;1967;LE;School of Fire Support;High;6687;X
1175061;Chief of Staff;Nguyen Son;1930;1957;1957;ST;Commando Doctrine Staff;High;6670;X
1175062;Chief of Staff;Vo Nguyen Giap;1936;1992;2013;LE;School of Psychology;High;6664;X
1175063;Chief of Staff;Tran Van Tra;1940;1982;1996;LE;School of Manoeuvre;High;6699;X
1175064;Chief of Army;Chu Van Tan;1933;1984;1984;LE;Doctrine of Autonomy;High;6769;X
1175065;Chief of Army;Phan Anh;1937;1990;1990;LWR;Guns and Butter Doctrine;High;6876;X
1175066;Chief of Army;Vo Nguyen Giap;1936;1992;2013;LE;Elastic Defence Doctrine;High;6664;X
1175067;Chief of Army;Ta Quang Buu;1934;1986;1986;LE;Guns and Butter Doctrine;High;6877;X
1175068;Chief of Army;Nguyen Chi Thanh;1936;1967;1967;LE;Guns and Butter Doctrine;High;6687;X
1175069;Chief of Army;Van Tien Dung;1944;1986;2002;LE;Elastic Defence Doctrine;High;6890;X
1175070;Chief of Army;Tran Van Tra;1940;1982;1996;LE;Commando Doctrine Army;High;6699;X
1175071;Chief of Navy;Hoang Van Thai;1940;1986;1986;LE;Indirect Approach Doctrine;High;6686;X
1175072;Chief of Navy;Ta Xuan Thu;1933;1971;1971;LE;Base Control Doctrine;High;6801;X
1175073;Chief of Navy;Nguyen Ba Phat;1940;1976;1993;LE;Indirect Approach Doctrine;High;6841;X
1175074;Chief of Air Force;Tran Quy Hai;1930;1985;1985;LE;Air Superiority Doctrine;High;6749;X
1175075;Chief of Air Force;Le Van Tri;1948;1988;2006;LE;Army Aviation Doctrine;High;6724;X
1175076;Chief of Air Force;Hoang The Thien;1945;1995;1995;LE;Air Superiority Doctrine;High;6673;X
1175077;Chief of Air Force;Hoang Ngoc Dieu;1953;1989;2020;LE;Carpet Bombing Doctrine;High;6813;X
1175078;Chief of Air Force;Dang Tinh;1945;1973;1973;LE;Vertical Envelopment Doctrine;High;6738;X
1175079;Chief of Air Force;Phung The Tai;1940;1987;2014;LE;Army Aviation Doctrine;High;M_Phung The Tai;X
