#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
ELECT_KOR3;Elect Korean National Association;;;;;;;;;;X
ELECT_KOR4;Elect Korean Independent Party;;;;;;;;;;X
ELECT_CAN1;Elect Progressive Conservative Party;;;;;;;;;;X
ELECT_SAF1;Elect United Party;;;;;;;;;;X
ELECT_SAF2;Elect South African Party;;;;;;;;;;X
ELECT_BEL1;Elect Catholic Party;;;;;;;;;;X
ELECT_HOL1;Elect Catholic People's Party;;;;;;;;;;X
ELECT_HOL2;Elect Anti Revolutionary Party;;;;;;;;;;X
ELECT_MEX1;Elect Institutional Revolutionary Party;;;;;;;;;;X
ELECT_MEX2;Elect National Revolutionary Party;;;;;;;;;;X
ELECT_MEX3;Elect Party of the Mexican Revolution;;;;;;;;;;X
ELECT_MEX4;Elect National Action Party;;;;;;;;;;X
ELECT_BUR1;Elect AFPFL;;;;;;;;;;X
ELECT_BUR2;Elect National United Front;;;;;;;;;;X
ELECT_BUR3;Elect GCBA Coalition;;;;;;;;;;X
ELECT_BUR4;Elect Poor Man's Party;;;;;;;;;;X
ELECT_IRE1;Elect Fianna Fáil;;;;;;;;;;X
ELECT_IRE2;Elect Cumann na nGaedheal;;;;;;;;;;X
ELECT_IRE3;Elect Fine Gael;;;;;;;;;;X
ELECT_BRA1;Elect National Democratic Union;;;;;;;;;;X
ELECT_BRA2;Elect Brazilian Labour Party;;;;;;;;;;X
ELECT_BRA3;Elect National Labour Party;;;;;;;;;;X
ELECT_BRA4;Elect pro Military Faction;;;;;;;;;;X
ELECT_DFR1;Elect Christian Democratic Union;;;;;;;;;;X
ELECT_ITA1;Elect Christian Democracy;;;;;;;;;;X
ELECT_ITA2;Elect Popular Democratic Front;;;;;;;;;;X
ELECT_VIE1;Elect Vietnamese Nationalist Party;;;;;;;;;;X
ELECT_VIE2;Elect National Revolutionary Movement;;;;;;;;;;X
ELECT_SIA1;Elect Seri Manangkhasila Party;;;;;;;;;;X
ELECT_SIA2;Elect Sahaphum Party;;;;;;;;;;X
ELECT_SIA3;Elect Khana Ratsadon;;;;;;;;;;X
BRU_Federation;North Borneo Federation;;;;;;;;;;X
UPS_Tungan;Tunganistan;;;;;;;;;;X
UCH_Unauthorized;Imperial China;;;;;;;;;;X
USN_LKMT;Wuhan Nationalist Government;;;;;;;;;;X
EVT_2500036_DESC;;;;;;;;;;;X
EVT_2500037_DESC;;;;;;;;;;;X
EVT_2500038_DESC;;;;;;;;;;;X
EVT_2500039_DESC;;;;;;;;;;;X
EVT_2500040_DESC;;;;;;;;;;;X
EVT_1400000000_desc;The New Life Movement is a government-led civic movement to promote cultural reform and Neo-Confucian social morality. The initiate was launched on 19 February 1934 as part of the anti-Communist campaign It attempted to counter Communism ideology with a mix of traditional Confucianism, Western Christianity, nationalism and authoritarianism that have some similarities to fascism. It rejected individualism and Western democratic values and opposed socialism and communism. It also aimed to build up morale in a nation that was besieged with corruption, factionalism, and opium addiction. Some goals included courtesy to neighbors, following rules set by the government, keeping streets clean, conserving energy, and so forth. Chiang Kai-shek used the Confucian and Methodist notion of self-cultivation and correct living for this movement. While some have praised the movement for its role in raising the quality of life somewhat during the war with Japan, others have criticized it for its lofty goals that were out of touch with the suffering of the general populace. The New Life Movement was considered part of the program to carry out the principle of the people's livelihood(minsheng zhuyi) in Sun Yat-sen's Three Principles of the People.;;;;;;;;;;X
EVT_1400000001_DESC;The 1933 Diexi earthquake occurred in Diexi, Mao County, Szechwan, Republic of China on August 25, 1933. This earthquake destroyed the town of Diexi and surrounding villages, and caused many landslides, and killed about 9,000 people. The old town of Diexi sank into the landslide dam-created Diexi Lake.;;;;;;;;;;X
EVT_1400000002_DESC;Originally, the traditional Chinese currency consisted of coins and Silver sycee and the casting and common use of them were monopolized by the central government. However, as Qing's authority was tarnished from the late 19th century, each province began to issue its own currency. the central government attempted to freeze local currency several times, but failed, as a result, by the time the Nationalist government was established, the central government's currency was at its lowest value or even denied. In order to overcome this situation, currency issuance should be centralized by replacing the unit of currency.;;;;;;;;;;X
EVT_1400000003_DESC;Damage caused by the Great Depression and consequent fluctuations in the international economy was the same for China. The government must get rid of the unstable silver standard, implement currency reform, and seek foreign financial aid to overcome this crisis.;;;;;;;;;;X
EVT_1400000004_DESC;Chennault was a fierce advocate of "pursuit" or fighter-interceptor aircraft during the 1930s when the U.S. Army Air Corps was focused primarily on high-altitude bombardment. Chennault retired from the United States Army in 1937, and now comes to China as a volunteer.;;;;;;;;;;X
EVT_1400000005_DESC;After the Franco-Prussian War, Germany was in the spotlight as the most advanced military power, and such myth remained even after the defeat in the World War I. In turn, the National Government viewed Germany as an alternative after breaking off its ties with the Soviet Union. Meanwhile, Germany, who had poor relations with the Western powers due to the Treaty of Versailles, was keeping an eye on China which was home to precious resources. Now following the vision of the new military advisor Hans Von Seeckt, the Chinese military will begin to rapidly modernize, and in return, China will export enormous amounts of Tungsten need for rearmament;;;;;;;;;;X
EVT_1400000006_DESC;City streets and university campuses fill with crowds of students, waving banners and flags under a rallying cry for all China to unite against Japan's continued aggression. While the government might normally find such jingoistic movements favorable, these protests also make a point to boo Chiang Kai-shek's policies of appeasement and focus on attacking his political enemies; "Chinese should not fight Chinese" they say. Though our party's internal enemies still remain large, perhaps now might be the time to consider changing our priorities to preparing for an invasion from the outside...;;;;;;;;;;X
EVT_1400000007_DESC;;;;;;;;;;;X
EVT_1400000008_DESC;;;;;;;;;;;X
EVT_1400000009_DESC;;;;;;;;;;;X
decision_1400000009_desc;According to the assertion by Sun Yat-sen, the establishment of modern nation in China should proceed in three stages. The first stage, military government, involves temporary rule by the military to protect revolutionary powers from external threats. In 1927, Chiang Kai-shek declared the completion of the National Revolution, signaling the transition of the Republic of China into the second stage, known as political tutelage. At this stage, the Republic of China prepared for the 'constitutional politics' and in order to carry it out, a specific faction(KMT) must temporarily lead the entire country. Originally, political tutelage was planned to conclude in 1933, also planned to be converted to the last stage, the constitution politics, but despite six years of reforms, setbacks such as the loss of Manchuria, natural disasters, Japan's aggressive policies, and lacking power of the government no significant changes in China. Consequently, the Nationalist government announced a four-year postponement of the transition to constitutional politics, which sparked significant backlash. \nTherefore, the Nationalist government scheduled to convene the Constituent National Assembly in December 1937, but in the event of a state of emergency, it could be extended.;;;;;;;;;;X
EVT_1400000010_DESC;Since the National Government had been constituted, the persistent public demand for a constitutional government has challenged the current party-state system. The government has originally planned to hold National Assembly to declare the first constitution in late 1937, but it was postponed. There seems to be no end in sight for the period of political tutelage. Liberal opposition groups, including the China Democratic League, along with moderates within the government, are calling for political reforms, such as the implementation of constitutionalism. Can a constitutional system truly resolve the various underlying issues? Perhaps China is still premature for the implementation of democracy. Ultimately, this decision rests with the government.;;;;;;;;;;X
EVT_1400000011_DESC;;;;;;;;;;;X
EVT_1400000012_DESC;The conflict between the KMT and the Communist Party, which began with the breakdown of their alliance, has persisted for a long time and ultimately led to instability in China. This became a heavy political burden for all involved. Amidst this atmosphere, public opinion demanded a compromise so strongly that both sides had no choice but to agree. Negotiations have now commenced with the participation of various groups, including the CCP, the KMT, the China Democratic League, the Young China Party, as well as other relevant political groups. Will this be the chance to finally end the civil war? We can only hope that it does not turn out to be nothing more than a temporary ceasefire...;;;;;;;;;;X
EVT_1400000014_DESC;The National Assembly began in accordance with Sun Yat-sen's vision, and discussions have continued since the establishment of the National Government. This was intended to respond to public opinion demanding constitutional governance and to prepare for the coming constitutional era. The form of the Constituent National Assembly will consist of party representatives distributed and selected by the government, alongside vocational and regional representatives elected by the people. Despite opposition from opposition parties, the seat distribution led by the Kuomintang will formally create a structure in which various parties participate. The Constituent National Assembly thus formed will draft the Constitution of the Republic of China and begin preparations for the new government.;;;;;;;;;;X
EVT_1400000015_DESC;;;;;;;;;;;X
EVT_1400000016_DESC;The KMT is demanding that the CCP disarm and transfer its administrative authority in exchange for political participation. Currently, the party’s position is extremely precarious. our enemies threaten our territory from all sides, and we can no longer afford to wait indefinitely for support from the Soviet Union. To be honest, the options available to the CCP do not look optimistic;;;;;;;;;;X
EVT_1400000017_DESC;Despite the conflict between the KMT and the CCP, their negotiations progressed and a joint resolution was promoted under mutual agreement. However, the representatives failed to reach a consensus on how to govern the unified nation. The CCP argues that the its controlled territories must remain their autonomous administration, while the KMT requests their dissolution. Under these circumstances, it seems that the resolution fail to result in actual practice in spite of the compromise with difficulty.;;;;;;;;;;X
EVT_1400000018_DESC;;;;;;;;;;;X
decision_1400000018_desc;;;;;;;;;;;X
EVT_1400000020_DESC;;;;;;;;;;;X
EVT_1400000022_DESC;The New National Assembly, based on the Constitution formed after discussions in the Constituent National Assembly, will serve as an institution underpinning constitutional politics. Delegates are elected by popular vote in regions under government control. The elected representatives will not only deliberate on the Constitution but also serve as the foundation for electing the formal President of the National Government. Although the election process is being conducted formally, it is structured in a way that the Kuomintang maintains a near-monopoly.;;;;;;;;;;X
EVT_1400000023_DESC;Although there are signs of compromise being made, tensions remain. The KMT and CCP didn’t budge from their respective positions, nor fulfill the agreements. While the KMT sees this as the CCP’s tactic of delay, the CCP does not trust the KMT. Because mutual distrust runs deep, negotiations to achieve compromise have been delayed and became a mere temporary truce;;;;;;;;;;X
EVT_1400000028_DESC;In order to implement their currency reform, the Chinese are offering us their silver in exchange for our currency. The State Department is wary of taking them up on this offer, lest it may provoke the Japanese. Henry Morgenthau, on the other hand, wants to seize this opportunity to firmly annex China into the Dollar’s sphere of influence. The Chinese are quite persistent on this offer, and we do have to procure silver in accordance with the Silver Purchase Act of 1934.;;;;;;;;;;X
EVT_1400000029_DESC;Seeing mutual benefit in our relationship, the Americans have accepted our offer. An agreement has been drawn up and formalized between our ambassador to America and Henry Morgenthau, providing us with capital necessary to supplement our reforms. This will surely increase the fruits of our reforms, and perhaps even stop Japan’s economic meddling.;;;;;;;;;;X
EVT_1400000030_DESC;due to carelessness and internal circumstances, America has declined our offer of silver for aid. This leaves only Japan and Britain as alternatives. With negotiations with Japan unlikely to bear fruit, we must turn to Britain.;;;;;;;;;;X
EVT_1400000031_DESC;from the late stages of the Qing dynasty, we have maintained our economic influence on China through Hong Kong and Shanghai. Our banks and corporations in China have persistently called for economic aid to the Chinese, but this is easier said than done. Our over demands to the Chinese have quickly been rescinded due to their strong objections, and the negotiation continues to drag on. Accepting these terms will at least be able to stabilise them somewhat.;;;;;;;;;;X
EVT_1400000032_DESC;The British have accepted our offer, finally providing us with the additional capital necessary for the currency reform. Unlike the United States, the Britain doesn't have enough capital, so support is inevitably limited to some extent.;;;;;;;;;;X
EVT_1400000033_DESC;The backstabbing reds have done it again! We are just now receiving reports of sabotage by CCP agents who have caused quite some damage with their activities. A response must be organized quickly, and our defenses reviewed too!;;;;;;;;;;X
EVT_1400000034_DESC;;;;;;;;;;;X
EVT_1400000035_DESC;;;;;;;;;;;X
EVT_1400000036_DESC;The National government's first Presidential election is organized according to the new Constitution and elected by the Representatives of the National Assembly. Due to KMT's overwhelming support in the National Asssembly, the Presidency will surely go to the KMT. Meanwhile, various factions within the government are competitively vying for the Vice Presidency. Thus, the President of the Republic of China will be decided according to the composition of the new National Assembly.;;;;;;;;;;X
EVT_1400000037_DESC;;;;;;;;;;;X
EVT_1400000038_DESC;;;;;;;;;;;X
EVT_1400000039_DESC;;;;;;;;;;;X
EVT_1400000040_DESC;;;;;;;;;;;X
EVT_1400000041_DESC;;;;;;;;;;;X
EVT_1400000042_DESC;;;;;;;;;;;X
EVT_1400000043_DESC;;;;;;;;;;;X
EVT_1400000044_DESC;;;;;;;;;;;X
EVT_1400000045_DESC;;;;;;;;;;;X
EVT_1400000046_DESC;;;;;;;;;;;X
EVT_1400000047_DESC;;;;;;;;;;;X
EVT_1400000048_DESC;;;;;;;;;;;X
EVT_1400000049_DESC;;;;;;;;;;;X
EVT_1400000050_DESC;;;;;;;;;;;X
EVT_1400000051_DESC;;;;;;;;;;;X
EVT_1400000052_DESC;;;;;;;;;;;X
EVT_1400000053_DESC;;;;;;;;;;;X
EVT_1400000054_DESC;;;;;;;;;;;X
EVT_1400000055_DESC;;;;;;;;;;;X
EVT_1400000056_DESC;;;;;;;;;;;X
EVT_1400000057_DESC;;;;;;;;;;;X
EVT_1400000058_DESC;;;;;;;;;;;X
EVT_1400000059_DESC;;;;;;;;;;;X
EVT_1400000060_DESC;;;;;;;;;;;X
EVT_1400000061_DESC;;;;;;;;;;;X
EVT_1400000062_DESC;The time has come. Political Tutelage is coming to an end and the next Legislative Yuan is to be elected by the people. It's based on a new constitution, and not only the various factions of the Nationalist Party, but also the parties that worked together are participating in it. this will contribute to the establishment of institutional politics, forming democratic pluralism that has not been seen for a long time;;;;;;;;;;X
EVT_1400000065_DESC;According to the Constitution, the Presidency's term of office is for 6 years and allows a second term of office. The procedure of Presidential Election has begun in the National Assembly just now. The strong governmental support will likely result in the reelection of the current President.;;;;;;;;;;X
EVT_1400000080_DESC;;;;;;;;;;;X
EVT_1400000081_DESC;;;;;;;;;;;X
EVT_1400000082_DESC;;;;;;;;;;;X
EVT_1400000083_DESC;;;;;;;;;;;X
EVT_1400000089_DESC;The government has entered into an emergency session after the outbreak of war with Japan. With haste we have confirmed our undivided support for the military. As we go through other motions proposed to protect China, we must carefully consider our actions during the war and how they may both benefit the war effort as well as impact the unity of our people;;;;;;;;;;X
EVT_1400000091_DESC;;;;;;;;;;;X
EVT_1400000092_DESC;Since the 19th century, China has been a key market for the international community. However, as the situation in East Asia has changed, it has become necessary to establish relations with China on an equal basis. To this end, the unequal treaties and privileges previously imposed on China must be abolished, and China must be treated as an equal partner.;;;;;;;;;;X
EVT_1400000094_DESC;Unequal treaties imposed by foreign powers left lasting scars on China’s sovereignty. To resolve these treaties, the government negotiated with each country for a long time, achieving some progress, but the issue has not yet been fully resolved. However, as the situation in East Asia changes, Britain and the United States have offered to relinquish their special privileges. The era of unequal treaties that began in the 19th century is coming to an end. The long-standing national trauma will gradually heal.;;;;;;;;;;X
EVT_1400000095_DESC;There have been numerous attempts by progressive intellectuals to engage in rural areas. After years of effort, these efforts culminated in the Rural Reconstruction Movement led by James Yen and Liang Shuming. Moving beyond a simple enlightenment-style approach, the movement aims to reorganize rural communities and improve farmers' lives. It is believed that this approach can lead to local self-governance and social reform. However, the Rural Reconstruction Movement generally pursues a different course from that of the Communist Party or the Kuomintang and aligns with liberals.;;;;;;;;;;X
EVT_1400000096_DESC;The opposition parties operating outside the government included not only liberal intellectuals and politicians but also remnants of the Beiyang government. For many years following the National Revolution, they have criticized the Kuomintang’s one-party dominance and waged a political movement for democratic reform. While some of these individuals have joined the China Democratic League, others, such as the China Democratic Socialist Party, have chosen to compromise with the government. To appease the external opposition, including the China Democratic League, mediation by those willing to compromise is necessary. However, it remains to be seen how much of the opposition can be accommodated.;;;;;;;;;;X
EVT_1400000097_DESC;Although the Communist Party remains outlawed in the aftermath of the civil war, factions sympathetic to it still exist. Groups originating from within the left wing of the Kuomintang have long engaged in underground activities against the government, but now that constitutional government has been established, they are operating in conjunction with the Kuomintang’s non-mainstream factions. It will not be easy for us to accept our former comrades who have fallen from grace.;;;;;;;;;;X
EVT_1400000098_DESC;;;;;;;;;;;X
EVT_1400000100_DESC;;;;;;;;;;;X
EVT_1400000102_DESC;;;;;;;;;;;X
EVT_1400000103_DESC;;;;;;;;;;;X
EVT_1400000104_DESC;;;;;;;;;;;X
EVT_CHI_Legislative_DESC;The Legislative Yuan represents the legislative branch of the Republic of China. Most legislators are elected from regional constituencies, while some are chosen by vocational groups and ethnic minority regions; the term of office is three years. Legislators not only deliberate on bills but are also responsible for the appointment of the President of the Executive Yuan (Premier), thereby enabling them to influence the executive branch. Various factions of the Kuomintang and other political parties are participating to exercise their respective capabilities. Ultimately, what changes will this bring to the Legislative Yuan?;;;;;;;;;;X
EVT_CHI_National_Assembly_DESC;Based on the Constitution of the Republic of China, the National Assembly is the supreme government organ placed above the separation of the five powers. Delegates to the National Assembly are elected by popular vote through regional constituencies based on local municipalities, as well as official vocational and social organizations. The term is six years, and the Assembly is convened for significant agendas such as constitutional amendments and the election or impeachment of the President and Vice President. As various political factions participate, the National Assembly election will influence the Constitution and the subsequent election of the President.;;;;;;;;;;X
EVT_1400001003_DESC;;;;;;;;;;;X
EVT_1400001004_DESC;;;;;;;;;;;X
EVT_1400001005_DESC;;;;;;;;;;;X
EVT_1400001007_DESC;The New Guangxi Clique under the leadership of Li Zongren have been cooperative to the Kuomintang since 1923, taking control of the Guangxi region in the process. However, their regional tendencies and their greed have made them butt heads with us constantly, leading them as far as betrayal in some instances. If we incorporate the Guangxi region to be under our direct influence, we will gain the support of the region’s officer corps. However, it is unclear what the consequences would be if they were abandoned.;;;;;;;;;;X
EVT_1400001008_DESC;;;;;;;;;;;X
EVT_1400001009_DESC;;;;;;;;;;;X
EVT_1400001010_DESC;;;;;;;;;;;X
EVT_1400001011_DESC;;;;;;;;;;;X
EVT_1400001012_DESC;;;;;;;;;;;X
EVT_1400001013_DESC;;;;;;;;;;;X
EVT_1400001014_DESC;;;;;;;;;;;X
EVT_1400001015_DESC;;;;;;;;;;;X
EVT_1400001016_DESC;;;;;;;;;;;X
EVT_1400001017_DESC;;;;;;;;;;;X
EVT_1400001018_DESC;;;;;;;;;;;X
EVT_1400001019_DESC;;;;;;;;;;;X
EVT_1400001020_DESC;;;;;;;;;;;X
EVT_1400001021_DESC;;;;;;;;;;;X
EVT_1400001022_DESC;;;;;;;;;;;X
EVT_1400001023_DESC;;;;;;;;;;;X
EVT_1400001024_DESC;;;;;;;;;;;X
EVT_1400001025_DESC;;;;;;;;;;;X
EVT_1400001251_DESC;With the He-Umezu agreement having expelled Chinese influence in Hebei province, a bold administrator named Yin Ju-keng of various counties in the eastern part of the province has declared independence from the KMT government under the urging of the Kwangtung Army. This is a welcome development in our efforts to solidify our control in Manchukuo, and Mr. Yin seems very keen on getting the process of receiving Japanese protection started. While there might be some slight concern about another rather daring territorial move by the Kwantung army... for now, let us revel in the creation of a new state under our mission for Asian co-prosperity, the East Hebei Autonomous Government!;;;;;;;;;;X
EVT_1400001252_DESC;In utter violation of the Tanggu truce and all other succeeding agreements, the Japanese are sponsoring rebel administrator Yin Ju-keng and his illegitimate 'East Hebei Autonomous Government'! Already Japanese soldiers and diplomats are making visits to their new rebel base in Tongzhou and flaunting our rights as a sovereign nation. We cannot let this stand... but our ability to resist an all-out war with Japan at this point is extremely questionable. How should we respond to this new imperialistic encroachment?;;;;;;;;;;X
EVT_1400001253_DESC;The enemy now expelled from our capital, we are now able to return to our original seat of power in Nanjing. The storied city has certainly suffered under Japanese hands, the ghosts of the massacre still lingering in the streets, but it is nothing that we as a Chinese nation cannot overcome with effort. Our staff are slowly moving back into the offices in the presidential palace and the crowd of refugees from the city trickling back into their hometown. Give or take a decade.;;;;;;;;;;X
EVT_1400001254_DESC;;;;;;;;;;;X
EVT_1400001255_DESC;The demands of war have stretched our military quite thin. The army we have currently assembled to fight the Japanese is a rather embarrassing far-cry from the old outline in the sixty divisions plan, a hodgepodge of warlord units, unwilling conscripts, and hastily promoted officers. There is a real fear growing among the command that the organization of the National Revolutionary Army could collapse with just a bit more pressure from Japan... Perhaps it would be beneficial to consider a thorough program of reform soon;;;;;;;;;;X
EVT_1400001256_DESC;Last night, July 7, our soldiers were attempting to cross the border near Peking in order to investigate the case of a missing soldier. Despite our reasonable situation however, the Chinese army stationed in the region refused to allow us passage, giving us no choice but to make our way across by force to resolve the incident. At 23:00 our forces engaged the Chinese in a firefight as reinforcements were mobilized form nearby units towards the area of the Marco-Polo bridge where the battle had occurred. At 4:50 the next day, while negotiations between our sides were underway, a shot suddenly rang out and broke the temporary truce, beginning a full-scale attack across the bridge by out troops. Chinese resistance was fierce, and we were unable to cross, thus leading us to retreat and arrange a second truce, giving us a sliver of time to make our choice on how to proceed. While we have already deployed various diplomats and army representatives to negotiate a peaceful solution to the conflict, the Chinese have been making this process extraordinarily difficult by continuing their attacks on our garrisons while talks are underway. Local commanders demand that we back them up and take punitive military action against the aggressive Chinese forces. The whole world's eyes are trained on the Tokyo for answers... will it be peace or war?;;;;;;;;;;X
EVT_1400001257_DESC;The Japanese advance has begun to push deeper and deeper into the heartland of China, now closing in on the vulnerable city of Changsha. The strategic value of the city cannot be understated, containing hundreds of factories and resources, alongside a massive population of refugees from neighboring provinces. As a result of our precarious situation and limited resources, Chiang Kai-shek has floated around the idea of burning the city to the ground... an idea that came to the attention of Hunan government chair, Zhang Zhizhong, who began preparing a plan for just that. However, disaster struck, when an accidental fire led to the arson teams organized by Zhang taking that as the signal to burn the city, creating an inferno that killed around 30,000 of our own civilians who had not gotten the chance nor warning to evacuate. While the goals of razing the city were certainly accomplished, Zhang's deadly mishandling of the incident has enraged much of the KMT's top brass--the fate of him and his associates now rests in our hands.;;;;;;;;;;X
EVT_1400001258_DESC;Wang Jingwei was one of the key figures in the KMT who were very committed to the party, even though he was a rival from within. Although the war of resistance began, the situation was dire. As movements arguing for peace emerged in this critical moment, there were negotiation efforts centered on Wang Jingwei. While the Japanese stance was too tough to even attempt one, a sudden news arrived that Wang Jingwei, snuck away from the government, reached an agreement with Japan single-handedly. The government was stunned and infuriated by the sense of betrayal. As a response, it permanently expelled Wang Jing-wei from the party, and stiffened the resolve to continue the war of resistance.;;;;;;;;;;X
EVT_1400001259_DESC;As Nanjing fell, the departments of the central government were relocated to Chongqing to avoid the same fate. For the time being, Chongqing will serve as a provisional capital. Chongqing and Sichuan will play its role as the bastion of the war of resistance;;;;;;;;;;X
EVT_1400001260_DESC;Our ability to continue the war with Japan hinges on the continued existence of our government and central authority. we cannot let ourselves be suddenly captured in the capital by Japanese forces, leaving the rest of the country headless and without direction. As tremendous quantities of enemy forces approach Nanjing, we have no choice but to pull our operations further inland, moving all of our most important files, equipment, and personnel with us. It will be an arduous and risky journey, but just the thing we need to buy time. When the war ends, we will return to the national capital we fought to establish, stronger and more united than ever...;;;;;;;;;;X
EVT_1400001261_DESC;While it is fortunate that much of the world sympathizes with our plight and is ready to offer us aid in resisting Japan's brutal imperialism, they unfortunately do not have many paths from which they can get that aid to us. To resolve this issue, we have reached an agreement with British officials to construct a road through the mountains of Burma and into Yunnan so that convoys from India can get to us the supplies and equipment we sorely need. As of now, hundreds of thousands of workers are making great efforts to complete the road in as little time as possible--we will have to be patient as this construction progresses...;;;;;;;;;;X
EVT_1400001262_DESC;Through cooperation between labour and engineering forces of our two countries, the 717 mile-long Burma road providing our convoys access to China is now open to traffic. At long last, we may begin preparing shipments of arms and material to China in order to stem the Japanese advance!;;;;;;;;;;X
EVT_1400001263_DESC;Through cooperation between labour and engineering forces of our two countries, the 717 mile-long Burma road providing our convoys access to China is now open to traffic. Though we still require much more personnel required to conduct the aid operation at maximum efficiency, many overseas Chinese have begun volunteering their expertise to help in the effort as drivers and mechanics. Together, we march towards victory!;;;;;;;;;;X
EVT_1400001268_DESC;Former Lt. General Claire Lee Chennault has returned to the States from his time in China, though not to stay here long. He has come with representatives of the Chinese government and military to push our administration into providing significant support for establishing a Chinese air force to fight back against Japanese air superiority in the region. Beyond just providing aircraft and aviation supplies, Chennault has also pushed for the creation of a group of volunteer pilots and aircraft mechanics to serve in air operations for this new Chinese air force. Though the United States certainly has an interest in assisting the war effort against Japan in any way possible, with concerns in Europe growing more pressing everyday we may have to start setting our priorities.;;;;;;;;;;X
EVT_1400001269_DESC;Former American aircraft commander Claire Lee Chennault has come back from the United States on a mission with representatives from the Chinese government to negotiate assistance in establishing a Chinese air force. He has fortunately succeeded in convincing the US government to not only send a sizeable shipment of aircraft, but also to send a detachment of volunteer personnel to operate and maintain these planes so they can be battle-ready as soon as possible. This group of volunteers, nicknamed the 'Flying Tigers', have now been assembled in China, and are awaiting their next orders...;;;;;;;;;;X
EVT_1400001270_DESC;The aid the Soviet Union has providing us to fight Japan has unfortunately been terminated as the Russians start to focus all their efforts on fighting Germany. Although the relations between our countries have been rocky, their assistance has without a doubt been vital to our efforts.;;;;;;;;;;X
EVT_1400001271_DESC;As the cheering, firecrackers, and all the revelry come to an end, we are once again faced with the harsh reality of the results of Japan's brutal war. Millions of displaced peoples escaping the terror of Japanese occupation, even more destroyed buildings and razed fields, not even to mention the disintegration of law and order throughout most of the country. Furthermore, our political enemies have been allowed to go unchecked as we focused all our military efforts against Japan--we have no idea how many communities they've infiltrated and turned against us. and are bound to threaten the weak position our government currently stands on. It seems inevitable that our country is heading once more into rough waters after such a short break, perhaps even into another all-out war... we must keep our wits up as we navigate this troubled peace.;;;;;;;;;;X
EVT_1400001272_DESC;As our young Mongolian state finds its footing, we've been offered a great opportunity to further our greater ambitions of a united state of all Mongols and improve our security. The Japanese report that they have finished scouting out the Suiyuan region currently being colonized by warlord Yan Xishan, and report an invasion by us may soon be possible. We have further been introduced by the Kwantung Army to a warlord named Wang Ying and his 6,000 strong Grand Han Righteous Army who are willing to help in our campaign. With such preparations, it seems there is no better time than now to attack! Shall we begin operations?;;;;;;;;;;X
